party,state,score,year,child_score,women_score,foreign_score,rural_score,financial,absentee
Independent,maryland,NA,2020,NA,NA,NA,NA,0.5,NA
Independent,california,0.683076923076923,2020,1,0.5875,0.5,0.51,0.75,NA
NA,texas,0.504615384615385,2020,0.5,0.38,0.5,0.68,0,NA
Republican,california,0.632307692307692,2020,0.5,0.59,0.75,0.7866666666666666,0.5,NA
NA,ohio,0.644615384615385,2020,0.5,0.5875,0.75,0.8433333333333334,0.5,NA
NA,washington,0.483846153846154,2020,0.5,0.5025,0.375,0.51,0.5,NA
Republican,florida,0.549230769230769,2020,0.75,0.6525,0,0.51,0.25,NA
NA,illinois,0.388461538461538,2020,0.25,0.33999999999999997,0.75,0.39666666666666667,0.5,NA
Democrat,maryland,0.143846153846154,2020,0,0.255,0,0.2833333333333333,0.75,NA
NA,texas,0.35,2020,0.25,0.255,0.5,0.51,0.5,NA
Democrat,new york,0.343846153846154,2020,0.25,0.38,0.125,0.5666666666666667,0.5,NA
Democrat,new york,0.580769230769231,2020,1,0.255,0.5,0.51,0.5,NA
Democrat,pennsylvania,0.652307692307692,2020,1,0.3175,0.5,0.7366666666666667,0.5,NA
Independent,north carolina,0.636153846153846,2020,0.5,0.4425,0.75,1,0.5,NA
Democrat,california,0.155384615384615,2020,0,0.1275,0,0.5033333333333333,1,NA
NA,georgia,0.586923076923077,2020,0.75,0.3175,0.5,0.7866666666666666,0.5,NA
NA,missouri,0.779230769230769,2020,1,0.6875,0.5,0.7933333333333333,0.75,NA
Independent,florida,0.537692307692308,2020,0.5,0.46499999999999997,0.375,0.7933333333333333,1,NA
Democrat,kentucky,0.298461538461538,2020,0,0.38,0,0.7866666666666666,0.5,NA
NA,michigan,0.64,2020,0.75,0.40249999999999997,0.75,0.7366666666666667,0.25,NA
Democrat,california,0.299230769230769,2020,0.25,0.255,0,0.6233333333333333,0.5,NA
NA,NA,0.616153846153846,2020,0.5,0.6275,0.25,1,0.25,NA
Democrat,pennsylvania,0.626153846153846,2020,1,0.46499999999999997,0.375,0.51,0.5,NA
NA,south carolina,0.471538461538462,2020,0.5,0.44,0.25,0.6233333333333333,0,NA
NA,indiana,0.368461538461538,2020,0.25,0.3175,0.25,0.6733333333333333,0.5,NA
NA,washington,0.670769230769231,2020,0.75,0.65,0.625,0.6233333333333333,0.75,NA
NA,ohio,0.453846153846154,2020,0.25,0.485,0.375,0.7366666666666667,0,NA
Republican,pennsylvania,0.746923076923077,2020,1,0.505,0.75,0.73,1,NA
Independent,california,0.627692307692308,2020,0.75,0.4875,0.5,0.7366666666666667,0.25,NA
Democrat,kansas,0.75,2020,0.75,0.7333333333333333,0.625,0.85,0.5,NA
NA,indiana,0.516923076923077,2020,0.5,0.4425,0.625,0.5666666666666667,0.5,NA
NA,illinois,0.292307692307692,2020,0,0.4225,0.375,0.45333333333333337,0.25,NA
Democrat,new mexico,0.28,2020,0,0.3175,0.25,0.6233333333333333,0.5,NA
NA,texas,0.382307692307692,2020,0.25,0.525,0,0.6233333333333333,0.5,NA
NA,alabama,0.836923076923077,2020,1,0.63,1,0.7866666666666666,0.25,NA
NA,texas,NA,2020,NA,NA,NA,NA,0.25,NA
NA,texas,0.35,2020,0.25,0.3175,0.375,0.51,0.25,NA
NA,georgia,0.356153846153846,2020,0,0.3175,0.5,0.7866666666666666,0.25,NA
NA,texas,0.836923076923077,2020,1,0.875,0.5,0.7933333333333333,0.75,NA
NA,washington,0.383076923076923,2020,0.25,0.255,0.375,0.7366666666666667,1,NA
Democrat,florida,0.637692307692308,2020,1,0.44,0.5,0.51,0.5,NA
NA,wisconsin,0.483846153846154,2020,0.5,0.565,0.25,0.51,0.5,NA
NA,indiana,0.761111111111111,2020,1,0.6166666666666667,0.5,NA,0.75,NA
NA,michigan,0.646923076923077,2020,0.5,0.6525,0.625,0.85,0.75,NA
NA,michigan,0.486153846153846,2020,0.25,0.46499999999999997,0.625,0.7366666666666667,0.25,NA
Democrat,north carolina,0.71,2020,0.75,0.715,0.75,0.6233333333333333,0.5,NA
NA,NA,0.725555555555556,2020,1,0.51,0.5,0.51,NA,NA
Independent,connecticut,0.71,2020,0.75,0.65,0.625,0.7933333333333333,0,NA
Democrat,pennsylvania,0.658461538461538,2020,0.75,0.5025,0.5,0.85,0.5,NA
NA,michigan,0.720769230769231,2020,0.75,0.8375,0.5,0.6733333333333333,0.75,NA
Republican,new jersey,0.426923076923077,2020,0.25,0.4425,0.625,0.51,0.5,NA
Republican,new jersey,0.466923076923077,2020,0.5,0.255,0.25,0.85,0.25,NA
NA,vermont,0.17,2020,0,0.255,0,0.39666666666666667,1,NA
Democrat,kentucky,0.450769230769231,2020,0.25,0.5,0.25,0.7866666666666666,0.5,NA
NA,michigan,0.53,2020,0.5,0.46499999999999997,0.75,0.51,0.5,NA
NA,wisconsin,0.556153846153846,2020,0.5,0.38,0.75,0.7366666666666667,0.5,NA
Independent,florida,0.325384615384615,2020,0,0.40249999999999997,0.375,0.6233333333333333,0.5,NA
NA,illinois,0.593846153846154,2020,1,0.33999999999999997,0.5,0.45333333333333337,0.5,NA
NA,ohio,0.510769230769231,2020,0.75,0.3175,0.25,0.6233333333333334,0.5,NA
NA,wisconsin,0.324615384615385,2020,0,0.255,0.25,0.9,0.75,NA
Republican,maryland,0.484615384615385,2020,0.75,0.255,0.375,0.51,0.5,NA
Independent,florida,0.581538461538462,2020,0.75,0.4425,0.375,0.68,0.25,NA
Independent,california,0.463076923076923,2020,0.25,0.3775,0.5,0.8366666666666667,0.5,NA
