party,state,finance.better,vote.method,child.indep,child.curio,child.obed,child.consid,us.world,us.better,rural.govt,rural.infl,rural.resp,women.child,women.work,women.favors,women.comp,year,Religion,President,women.media,women.disc,women.hire,women.opp
4,27,3,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Protestant,John Kerry,NA,NA,1,NA
3,6,3,NA,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,5,4,2004,Jewish,John Kerry,NA,NA,2,NA
2,6,3,NA,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,2,3,2004,Protestant,George W. Bush,NA,NA,2,NA
3,6,2,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,5,4,2004,Catholic,John Kerry,NA,NA,2,NA
1,24,5,NA,5,5,1,3,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Protestant,John Kerry,NA,NA,1,NA
1,24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA,NA,NA,NA,NA
2,51,3,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,1,5,2004,Protestant,John Kerry,NA,NA,2,NA
1,19,3,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Not Religious,John Kerry,NA,NA,2,NA
3,22,1,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Catholic,NA,NA,NA,2,NA
3,36,3,NA,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,5,2,2004,Catholic,John Kerry,NA,NA,1,NA
2,6,2,NA,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,2,2,2004,Protestant,John Kerry,NA,NA,2,NA
2,26,4,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Protestant,John Kerry,NA,NA,4,NA
3,24,4,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Protestant,John Kerry,NA,NA,1,NA
2,53,2,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Protestant,George W. Bush,NA,NA,2,NA
3,36,2,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,3,4,2004,Catholic,John Kerry,NA,NA,3,NA
1,26,3,NA,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,5,4,2004,Jewish,John Kerry,NA,NA,2,NA
1,12,1,NA,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,3,1,2004,Catholic,George W. Bush,NA,NA,1,NA
2,26,3,NA,5,5,3,3,NA,NA,NA,NA,NA,NA,NA,3,4,2004,Protestant,George W. Bush,NA,NA,2,NA
1,48,2,NA,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,2,5,2004,Protestant,George W. Bush,NA,NA,3,NA
2,51,3,NA,1,5,5,1,NA,NA,NA,NA,NA,NA,NA,4,NA,2004,Protestant,John Kerry,NA,NA,2,NA
1,48,2,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,1,1,2004,Protestant,NA,NA,NA,1,NA
2,17,3,NA,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,5,4,2004,Not Religious,George W. Bush,NA,NA,1,NA
3,34,3,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,2,4,2004,Jewish,George W. Bush,NA,NA,2,NA
3,55,2,NA,3,5,1,3,NA,NA,NA,NA,NA,NA,NA,5,4,2004,Protestant,John Kerry,NA,NA,1,NA
3,6,5,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,1,1,2004,NA,NA,NA,NA,1,NA
3,51,3,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,3,3,2004,Protestant,NA,NA,NA,4,NA
1,49,1,NA,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,2,1,2004,Protestant,John Kerry,NA,NA,4,NA
2,51,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA,NA,NA,NA,NA
2,36,1,NA,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,3,4,2004,Catholic,George W. Bush,NA,NA,4,NA
5,55,3,NA,5,5,3,1,NA,NA,NA,NA,NA,NA,NA,3,4,2004,Catholic,NA,NA,NA,2,NA
2,26,2,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,3,2,2004,Protestant,George W. Bush,NA,NA,3,NA
3,41,2,NA,5,5,5,3,NA,NA,NA,NA,NA,NA,NA,3,2,2004,NA,NA,NA,NA,3,NA
1,51,3,NA,5,1,1,5,NA,NA,NA,NA,NA,NA,NA,4,5,2004,Not Religious,John Kerry,NA,NA,4,NA
2,18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA,NA,NA,NA,NA
5,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA,NA,NA,NA,NA
1,39,2,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,4,2,2004,Protestant,John Kerry,NA,NA,4,NA
1,53,2,NA,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Protestant,John Kerry,NA,NA,1,NA
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA,NA,NA,NA,NA
1,34,2,NA,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,5,3,2004,Catholic,John Kerry,NA,NA,1,NA
1,8,2,NA,1,5,5,1,NA,NA,NA,NA,NA,NA,NA,5,4,2004,Jewish,John Kerry,NA,NA,2,NA
3,19,3,NA,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,5,3,2004,Protestant,John Kerry,NA,NA,1,NA
1,55,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Catholic,NA,NA,NA,NA,NA
2,55,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Catholic,NA,NA,NA,NA,NA
3,51,3,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,5,3,2004,Catholic,NA,NA,NA,2,NA
1,25,3,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,4,5,2004,Protestant,John Kerry,NA,NA,2,NA
3,25,3,NA,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,5,3,2004,Catholic,George W. Bush,NA,NA,3,NA
3,25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Not Religious,NA,NA,NA,NA,NA
1,25,2,NA,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,5,2,2004,Not Religious,George W. Bush,NA,NA,1,NA
2,48,1,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,3,2,2004,Protestant,John Kerry,NA,NA,2,NA
3,27,4,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,2,5,2004,Protestant,George W. Bush,NA,NA,2,NA
3,22,3,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,1,2,2004,Protestant,George W. Bush,NA,NA,3,NA
2,34,4,NA,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,5,1,2004,Catholic,George W. Bush,NA,NA,1,NA
1,24,2,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,3,4,2004,Protestant,NA,NA,NA,2,NA
1,6,3,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,2004,Protestant,NA,NA,NA,1,NA
3,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA
3,36,NA,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,3,2,2004,Not Religious,NA,NA,NA,2,NA
1,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA,NA,NA,NA,NA
3,36,3,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Catholic,John Kerry,NA,NA,1,NA
1,51,4,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,4,5,2004,Not Religious,John Kerry,NA,NA,2,NA
3,26,3,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Catholic,George W. Bush,NA,NA,1,NA
3,5,3,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Protestant,NA,NA,NA,1,NA
1,26,3,NA,1,5,5,5,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Catholic,John Kerry,NA,NA,2,NA
2,6,1,NA,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,4,2,2004,Protestant,John Kerry,NA,NA,3,NA
1,34,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Not Religious,NA,NA,NA,NA,NA
2,18,2,NA,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,1,4,2004,Catholic,George W. Bush,NA,NA,5,NA
3,6,1,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Protestant,NA,NA,NA,5,NA
3,24,4,NA,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Protestant,John Kerry,NA,NA,1,NA
3,51,3,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Not Religious,NA,NA,NA,2,NA
2,36,3,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,4,5,2004,Catholic,George W. Bush,NA,NA,1,NA
2,34,2,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Catholic,George W. Bush,NA,NA,4,NA
3,51,3,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Protestant,John Kerry,NA,NA,2,NA
1,55,3,NA,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Catholic,John Kerry,NA,NA,2,NA
3,8,2,NA,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,2,4,2004,Catholic,George W. Bush,NA,NA,2,NA
1,6,2,NA,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,4,5,2004,Catholic,John Kerry,NA,NA,1,NA
3,25,3,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Protestant,George W. Bush,NA,NA,2,NA
3,49,3,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,2,3,2004,Catholic,Ralph Nader,NA,NA,5,NA
1,48,1,NA,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Protestant,John Kerry,NA,NA,5,NA
5,12,3,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,4,5,2004,Jewish,George W. Bush,NA,NA,4,NA
3,6,2,NA,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,5,4,2004,Protestant,George W. Bush,NA,NA,1,NA
3,48,2,NA,1,5,1,5,NA,NA,NA,NA,NA,NA,NA,3,4,2004,Catholic,NA,NA,NA,2,NA
3,26,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA,NA,NA,NA,NA
2,6,3,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,2,1,2004,Protestant,George W. Bush,NA,NA,4,NA
3,18,2,NA,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Protestant,George W. Bush,NA,NA,2,NA
1,12,1,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,2,4,2004,Catholic,NA,NA,NA,2,NA
1,55,NA,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Catholic,John Kerry,NA,NA,1,NA
1,11,3,NA,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,4,3,2004,Protestant,NA,NA,NA,1,NA
2,55,3,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,3,2,2004,Protestant,George W. Bush,NA,NA,2,NA
3,33,3,NA,5,1,5,5,NA,NA,NA,NA,NA,NA,NA,3,2,2004,Catholic,George W. Bush,NA,NA,3,NA
3,18,1,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,5,4,2004,Protestant,NA,NA,NA,2,NA
1,1,1,NA,5,5,1,3,NA,NA,NA,NA,NA,NA,NA,3,2,2004,Protestant,John Kerry,NA,NA,1,NA
1,6,2,NA,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,3,3,2004,Not Religious,John Kerry,NA,NA,3,NA
1,22,3,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,5,4,2004,Protestant,John Kerry,NA,NA,2,NA
3,27,3,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,3,4,2004,Not Religious,John Kerry,NA,NA,2,NA
2,17,1,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Catholic,George W. Bush,NA,NA,1,NA
2,22,3,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,4,3,2004,Protestant,George W. Bush,NA,NA,2,NA
1,22,3,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Protestant,NA,NA,NA,2,NA
3,25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA,NA,NA,NA,NA
2,55,2,NA,5,5,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,2004,Orthodox,George W. Bush,NA,NA,2,NA
2,53,2,NA,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Protestant,George W. Bush,NA,NA,3,NA
2,12,2,NA,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Catholic,NA,NA,NA,4,NA
2,5,3,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,2,3,2004,Protestant,NA,NA,NA,2,NA
2,1,3,NA,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,2,2,2004,Protestant,George W. Bush,NA,NA,2,NA
2,26,1,NA,5,5,3,3,NA,NA,NA,NA,NA,NA,NA,4,2,2004,Protestant,George W. Bush,NA,NA,2,NA
3,51,3,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Not Religious,John Kerry,NA,NA,1,NA
5,27,3,NA,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,3,2,2004,Protestant,NA,NA,NA,3,NA
5,55,3,NA,5,3,3,1,NA,NA,NA,NA,NA,NA,NA,3,4,2004,Protestant,John Kerry,NA,NA,2,NA
2,18,2,NA,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,5,4,2004,Protestant,George W. Bush,NA,NA,1,NA
5,51,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA,NA,NA,NA,NA
2,29,2,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Catholic,George W. Bush,NA,NA,4,NA
2,17,2,NA,1,1,5,5,NA,NA,NA,NA,NA,NA,NA,5,2,2004,Catholic,George W. Bush,NA,NA,5,NA
1,51,3,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,5,2004,Protestant,NA,NA,NA,4,NA
3,6,3,NA,5,5,5,3,NA,NA,NA,NA,NA,NA,NA,3,2,2004,Protestant,George W. Bush,NA,NA,2,NA
3,12,1,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,4,3,2004,Not Religious,NA,NA,NA,2,NA
3,22,2,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,2004,Protestant,NA,NA,NA,1,NA
1,36,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Catholic,NA,NA,NA,NA,NA
1,5,3,NA,1,5,1,5,NA,NA,NA,NA,NA,NA,NA,3,4,2004,Protestant,John Kerry,NA,NA,2,NA
1,25,3,NA,3,3,5,3,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Catholic,John Kerry,NA,NA,1,NA
2,18,2,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,2,3,2004,Catholic,George W. Bush,NA,NA,3,NA
3,41,4,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Not Religious,John Kerry,NA,NA,2,NA
1,1,1,NA,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,4,3,2004,Protestant,John Kerry,NA,NA,2,NA
1,36,NA,NA,5,5,1,3,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Protestant,NA,NA,NA,2,NA
3,53,3,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,2,3,2004,Other Religion,John Kerry,NA,NA,5,NA
3,51,3,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,3,4,2004,Not Religious,NA,NA,NA,2,NA
2,1,3,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,2,2,2004,Protestant,George W. Bush,NA,NA,2,NA
2,47,3,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,2004,Not Religious,George W. Bush,NA,NA,2,NA
3,39,3,NA,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,5,2,2004,Protestant,George W. Bush,NA,NA,2,NA
2,6,4,NA,3,5,5,1,NA,NA,NA,NA,NA,NA,NA,2,2,2004,Catholic,George W. Bush,NA,NA,2,NA
2,18,3,NA,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,2,2,2004,Catholic,George W. Bush,NA,NA,4,NA
3,22,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA,NA,NA,NA,NA
1,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA,NA,NA,NA,NA
2,33,2,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,4,2,2004,Not Religious,George W. Bush,NA,NA,1,NA
3,27,3,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,3,4,2004,Catholic,George W. Bush,NA,NA,2,NA
3,49,2,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,2,2004,Protestant,NA,NA,NA,3,NA
1,53,2,NA,5,5,1,3,NA,NA,NA,NA,NA,NA,NA,4,2,2004,Protestant,John Kerry,NA,NA,3,NA
2,29,3,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Protestant,George W. Bush,NA,NA,2,NA
3,8,3,NA,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,4,5,2004,Other Religion,John Kerry,NA,NA,3,NA
2,41,3,NA,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,2,4,2004,Catholic,John Kerry,NA,NA,3,NA
1,47,NA,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,2,3,2004,Protestant,NA,NA,NA,4,NA
1,51,1,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,5,4,2004,Protestant,John Kerry,NA,NA,2,NA
2,6,3,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,4,2,2004,Protestant,George W. Bush,NA,NA,3,NA
3,1,3,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,3,3,2004,Protestant,George W. Bush,NA,NA,2,NA
1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA,NA,NA,NA,NA
4,18,1,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,5,4,2004,Not Religious,NA,NA,NA,1,NA
2,18,1,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,1,2,2004,Not Religious,George W. Bush,NA,NA,4,NA
3,36,2,NA,3,1,5,3,NA,NA,NA,NA,NA,NA,NA,2,3,2004,Not Religious,George W. Bush,NA,NA,3,NA
2,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA,NA,NA,NA,NA
5,6,2,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,3,3,2004,Protestant,NA,NA,NA,3,NA
2,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Jewish,NA,NA,NA,NA,NA
2,25,3,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,2,2,2004,Not Religious,NA,NA,NA,1,NA
1,26,1,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Protestant,John Kerry,NA,NA,2,NA
3,25,3,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,3,2,2004,Not Religious,Other,NA,NA,3,NA
3,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA,NA,NA,NA,NA
3,6,3,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Protestant,George W. Bush,NA,NA,2,NA
3,25,1,NA,1,5,5,5,NA,NA,NA,NA,NA,NA,NA,3,4,2004,Catholic,NA,NA,NA,3,NA
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA,NA,NA,NA,NA
5,6,3,NA,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Protestant,George W. Bush,NA,NA,1,NA
3,26,NA,NA,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,3,2,2004,Protestant,NA,NA,NA,2,NA
2,8,1,NA,3,5,1,5,NA,NA,NA,NA,NA,NA,NA,3,3,2004,Protestant,George W. Bush,NA,NA,2,NA
5,49,2,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Not Religious,George W. Bush,NA,NA,4,NA
3,24,NA,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Protestant,John Kerry,NA,NA,2,NA
2,26,3,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,2,2,2004,Protestant,George W. Bush,NA,NA,4,NA
3,8,2,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,2,4,2004,Protestant,Ralph Nader,NA,NA,3,NA
3,47,3,NA,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Not Religious,NA,NA,NA,4,NA
3,25,3,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,3,4,2004,Protestant,NA,NA,NA,2,NA
1,49,3,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,3,3,2004,Protestant,NA,NA,NA,2,NA
2,25,1,NA,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,4,2004,Catholic,George W. Bush,NA,NA,4,NA
1,22,3,NA,1,5,5,1,NA,NA,NA,NA,NA,NA,NA,2,3,2004,Not Religious,NA,NA,NA,1,NA
3,12,3,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,2,4,2004,Jewish,NA,NA,NA,2,NA
1,29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Catholic,NA,NA,NA,NA,NA
1,51,3,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Jewish,John Kerry,NA,NA,1,NA
1,36,NA,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,2,4,2004,Catholic,John Kerry,NA,NA,4,NA
3,27,4,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Catholic,John Kerry,NA,NA,2,NA
1,41,4,NA,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Not Religious,John Kerry,NA,NA,1,NA
1,53,3,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Not Religious,John Kerry,NA,NA,2,NA
2,6,3,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,2,3,2004,Protestant,George W. Bush,NA,NA,3,NA
2,51,2,NA,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,5,4,2004,Catholic,George W. Bush,NA,NA,1,NA
3,25,1,NA,5,5,5,3,NA,NA,NA,NA,NA,NA,NA,4,2,2004,Catholic,NA,NA,NA,4,NA
2,53,2,NA,5,1,1,5,NA,NA,NA,NA,NA,NA,NA,4,5,2004,Protestant,George W. Bush,NA,NA,2,NA
3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Catholic,NA,NA,NA,NA,NA
2,55,4,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,4,3,2004,Catholic,George W. Bush,NA,NA,2,NA
2,8,3,NA,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Protestant,George W. Bush,NA,NA,2,NA
3,18,2,NA,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,3,4,2004,Catholic,NA,NA,NA,2,NA
3,47,3,NA,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,5,4,2004,Jewish,John Kerry,NA,NA,1,NA
4,6,3,NA,1,5,1,3,NA,NA,NA,NA,NA,NA,NA,1,5,2004,Protestant,NA,NA,NA,2,NA
2,1,3,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,3,2,2004,Catholic,NA,NA,NA,4,NA
2,19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA,NA,NA,NA,NA
1,51,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Not Religious,NA,NA,NA,NA,NA
3,53,3,NA,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,2,4,2004,Not Religious,George W. Bush,NA,NA,4,NA
2,22,3,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,4,2,2004,Protestant,George W. Bush,NA,NA,1,NA
2,51,1,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,3,3,2004,Protestant,George W. Bush,NA,NA,1,NA
1,6,1,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,5,3,2004,Protestant,John Kerry,NA,NA,1,NA
3,18,3,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,5,4,2004,Protestant,NA,NA,NA,2,NA
1,24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Catholic,NA,NA,NA,NA,NA
3,51,1,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,5,4,2004,Protestant,John Kerry,NA,NA,1,NA
3,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Not Religious,NA,NA,NA,NA,NA
2,48,3,NA,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,2,3,2004,Protestant,George W. Bush,NA,NA,3,NA
1,36,1,NA,1,1,5,5,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Not Religious,John Kerry,NA,NA,2,NA
1,5,1,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,1,5,2004,Not Religious,NA,NA,NA,1,NA
3,22,1,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,4,3,2004,Catholic,NA,NA,NA,2,NA
5,34,3,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,4,4,2004,Not Religious,George W. Bush,NA,NA,3,NA
2,48,1,NA,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,5,5,2004,Protestant,George W. Bush,NA,NA,3,NA
5,34,3,NA,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,4,5,2004,Not Religious,George W. Bush,NA,NA,1,NA
1,51,2,NA,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,4,2004,Catholic,John Kerry,NA,NA,2,NA
3,25,3,NA,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,2,4,2004,Not Religious,NA,NA,NA,2,NA
1,36,4,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,4,5,2004,Protestant,NA,NA,NA,5,NA
5,25,NA,NA,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,5,4,2004,Protestant,John Kerry,NA,NA,4,NA
