party,state,finance.better,vote.method,child.indep,child.curio,child.obed,child.consid,us.world,us.better,rural.govt,rural.infl,rural.resp,women.child,women.work,women.favors,women.comp,year,Religion,President,women.media,women.disc,women.hire,women.opp
1,33,2,NA,2,1,2,2,4,4,4,4,4,6,5,2,3,2020,Not Religious,NA,NA,NA,NA,NA
4,25,1,NA,1,1,2,1,5,3,1,1,3,7,4,5,5,2020,Other Christian,Biden,NA,NA,NA,NA
NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Other Christian,NA,NA,NA,NA,NA
1,NA,3,NA,2,2,1,1,4,4,4,4,4,5,4,5,4,2020,Roman Catholic,Biden,NA,NA,NA,NA
NA,26,2,NA,2,1,2,1,4,3,6,4,4,4,4,4,4,2020,Mainline,Biden,NA,NA,NA,NA
2,5,3,NA,2,1,2,2,2,2,4,5,6,7,4,4,4,2020,Mainline,Trump,NA,NA,NA,NA
NA,51,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Roman Catholic,NA,NA,NA,NA,NA
1,37,3,NA,2,2,1,1,2,2,NA,6,7,4,2,2,2,2020,Evangelical,Trump,NA,NA,NA,NA
1,37,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,NA,NA,NA,NA,NA
NA,45,3,NA,1,1,2,1,3,1,6,4,6,6,2,4,4,2020,Evangelical,Trump,NA,NA,NA,NA
4,12,4,NA,2,1,1,1,3,2,4,5,6,4,4,3,4,2020,Mainline,NA,NA,NA,NA,NA
NA,17,3,NA,2,2,1,1,4,3,4,6,4,6,2,4,5,2020,Other Christian,Trump,NA,NA,NA,NA
NA,47,3,NA,2,1,2,1,4,4,6,6,4,4,4,4,5,2020,Not Religious,Biden,NA,NA,NA,NA
2,22,5,NA,2,2,1,1,4,2,7,6,4,4,4,2,4,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA
NA,NA,1,NA,2,2,1,2,3,1,4,4,5,6,4,4,4,2020,Roman Catholic,NA,NA,NA,NA,NA
2,21,3,NA,2,2,2,1,5,1,6,4,4,7,1,4,3,2020,Evangelical,Trump,NA,NA,NA,NA
1,36,3,NA,2,NA,NA,1,3,2,4,4,6,6,2,4,2,2020,Jewish,Trump,NA,NA,NA,NA
1,20,3,1,2,2,1,2,1,1,5,6,4,1,3,5,4,2020,Other Religion,NA,NA,NA,NA,NA
1,37,3,NA,1,1,2,1,3,3,5,6,4,4,4,5,5,2020,Evangelical,Biden,NA,NA,NA,NA
1,37,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Not Religious,NA,NA,NA,NA,NA
1,4,3,NA,1,1,2,1,5,2,4,2,4,4,4,4,4,2020,Other Religion,Biden,NA,NA,NA,NA
NA,29,3,NA,2,2,1,1,3,1,6,6,7,7,1,3,2,2020,Mainline,Trump,NA,NA,NA,NA
1,21,4,2,1,1,2,1,2,2,4,1,2,4,4,5,5,2020,Evangelical,NA,NA,NA,NA,NA
NA,51,3,NA,1,1,2,1,3,2,4,4,4,4,4,3,3,2020,Not Religious,Jorgensen,NA,NA,NA,NA
NA,29,3,NA,2,2,1,2,3,4,4,6,4,6,4,5,5,2020,Roman Catholic,Biden,NA,NA,NA,NA
2,23,3,NA,1,1,2,1,1,1,6,6,6,5,4,4,4,2020,Other Christian,Trump,NA,NA,NA,NA
1,6,1,2,1,1,2,1,4,4,4,1,4,6,4,4,4,2020,Jewish,NA,NA,NA,NA,NA
1,25,2,NA,1,1,2,1,5,2,4,2,6,6,4,5,5,2020,Roman Catholic,Biden,NA,NA,NA,NA
NA,48,4,NA,2,2,1,1,4,5,6,6,6,7,6,5,4,2020,Other Christian,NA,NA,NA,NA,NA
NA,17,2,NA,1,1,2,1,4,3,4,4,6,6,4,4,4,2020,Not Religious,Biden,NA,NA,NA,NA
2,4,4,NA,1,1,2,1,3,2,4,4,4,4,4,4,4,2020,Mainline,Biden,NA,NA,NA,NA
NA,47,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,NA,NA,NA,NA,NA
NA,39,4,NA,1,1,2,1,5,2,4,6,6,4,4,5,4,2020,Mainline,NA,NA,NA,NA,NA
2,21,2,NA,1,2,2,2,3,1,7,7,7,7,6,1,1,2020,Evangelical,Trump,NA,NA,NA,NA
NA,1,3,NA,2,2,1,2,4,4,4,7,6,4,2,2,2,2020,Evangelical,Trump,NA,NA,NA,NA
2,34,4,NA,1,1,2,1,5,3,4,4,7,4,4,5,5,2020,Mainline,Trump,NA,NA,NA,NA
2,34,3,NA,2,2,1,1,3,1,4,4,4,6,4,4,4,2020,Jewish,Trump,NA,NA,NA,NA
NA,48,3,NA,2,2,1,1,3,1,5,6,6,4,4,2,2,2020,Evangelical,Trump,NA,NA,NA,NA
1,24,3,NA,2,2,1,1,5,2,5,6,4,4,4,5,4,2020,Roman Catholic,Biden,NA,NA,NA,NA
NA,39,3,NA,2,2,2,1,3,2,4,2,4,5,4,5,4,2020,Undifferentiated Protestant,Biden,NA,NA,NA,NA
NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Other Christian,NA,NA,NA,NA,NA
1,42,3,NA,1,1,2,1,5,1,4,4,4,4,4,5,4,2020,Roman Catholic,Biden,NA,NA,NA,NA
NA,NA,2,NA,1,1,2,1,4,4,5,2,5,4,4,4,4,2020,Not Religious,NA,NA,NA,NA,NA
1,6,3,NA,1,1,2,1,5,2,4,4,4,4,6,5,4,2020,Mainline,Biden,NA,NA,NA,NA
1,6,4,NA,1,2,2,1,3,1,4,6,6,6,4,5,NA,2020,Mainline,Biden,NA,NA,NA,NA
2,12,2,NA,2,2,1,2,3,3,2,4,4,6,4,4,4,2020,Roman Catholic,Trump,NA,NA,NA,NA
NA,NA,4,NA,2,2,1,2,3,4,4,4,6,7,4,3,3,2020,Not Religious,NA,NA,NA,NA,NA
