party,state,finance.better,vote.method,child.indep,child.curio,child.obed,child.consid,us.world,us.better,rural.govt,rural.infl,rural.resp,women.child,women.work,women.favors,women.comp,year,Religion,President
1,12,3,NA,2,1,1,1,3,1,4,2,4,6,4,3,3,2020,Not Religious,Biden
1,4,3,NA,1,1,2,1,4,2,6,6,6,6,2,5,3,2020,Mainline,Biden
4,24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Other Religion,NA
4,6,4,NA,2,2,1,2,4,2,4,4,4,7,2,4,4,2020,Roman Catholic,Other
NA,48,1,NA,2,2,2,1,3,3,4,6,5,4,4,4,4,2020,Undifferentiated Protestant,Trump
2,6,3,NA,2,1,1,1,3,1,4,6,7,6,4,3,3,2020,Not Religious,Jorgensen
NA,39,3,NA,2,2,2,1,3,1,5,6,7,6,1,4,4,2020,Undifferentiated Protestant,Trump
NA,53,3,NA,2,1,1,1,5,2,4,3,5,7,4,4,4,2020,Other Religion,Biden
2,12,2,NA,2,2,1,1,5,5,4,3,5,6,4,3,2,2020,Other Christian,NA
NA,17,3,NA,2,1,2,1,2,2,4,2,4,6,4,5,5,2020,Not Religious,Biden
1,24,4,NA,1,1,2,1,5,5,6,1,1,4,4,5,5,2020,Not Religious,Biden
NA,48,3,NA,2,1,2,1,5,1,4,4,4,4,4,5,5,2020,Mainline,Trump
1,36,3,NA,1,2,2,1,5,4,5,4,4,4,4,4,4,2020,Not Religious,Biden
1,36,3,NA,2,2,1,2,3,3,4,4,4,4,4,5,5,2020,Not Religious,Biden
1,42,3,NA,2,2,1,2,3,3,6,6,4,4,4,5,4,2020,Roman Catholic,Other
4,37,3,NA,2,1,1,1,3,1,7,7,7,4,4,3,4,2020,Roman Catholic,Trump
1,6,5,NA,1,1,2,1,5,5,7,1,4,4,7,5,5,2020,Not Religious,Biden
NA,13,3,NA,2,2,1,1,3,3,4,6,7,4,4,5,4,2020,Evangelical,Trump
NA,29,4,NA,2,2,1,2,4,2,6,5,6,7,1,4,3,2020,Roman Catholic,Trump
4,12,5,NA,2,1,1,1,3,4,6,5,6,6,4,4,4,2020,Mainline,Biden
1,21,3,NA,1,1,2,1,5,5,4,6,7,4,4,4,4,2020,Other Religion,Biden
NA,26,2,NA,2,2,1,1,2,2,4,6,6,6,4,5,4,2020,Undifferentiated Protestant,Trump
