state,party,finance.better,child.indep,child.curio,child.obed,child.consid,year,Religion,President
13,1,3,5,1,1,1,2000,NA,NA
1,2,3,5,5,1,1,2000,NA,George W. Bush
1,5,2,1,5,5,1,2000,Other Religion,George W. Bush
1,2,NA,5,1,5,1,2000,NA,George W. Bush
6,2,NA,3,3,5,1,2000,NA,Al Gore
6,5,3,5,5,1,5,2000,NA,NA
6,1,NA,3,3,5,3,2000,Other Religion,Al Gore
41,3,NA,5,1,5,1,2000,NA,Al Gore
41,3,NA,1,1,5,1,2000,NA,Al Gore
26,3,NA,5,5,1,5,2000,NA,NA
26,1,NA,1,1,5,1,2000,NA,Al Gore
26,2,NA,5,1,5,1,2000,NA,Al Gore
26,1,3,5,1,5,1,2000,NA,Al Gore
26,3,NA,NA,NA,NA,NA,2000,NA,NA
26,1,3,5,5,1,1,2000,NA,NA
26,3,NA,5,5,1,1,2000,Catholic,Al Gore
26,5,NA,NA,NA,NA,NA,2000,NA,NA
26,2,3,5,5,5,1,2000,NA,George W. Bush
26,1,NA,5,3,1,1,2000,NA,Al Gore
17,3,NA,1,5,1,1,2000,NA,NA
17,3,NA,5,5,1,5,2000,NA,George W. Bush
17,3,NA,NA,NA,NA,NA,2000,NA,NA
17,3,5,1,5,1,5,2000,Catholic,George W. Bush
17,2,3,5,1,5,1,2000,NA,George W. Bush
17,1,3,3,3,3,3,2000,NA,Al Gore
18,3,NA,5,5,1,5,2000,NA,George W. Bush
18,1,3,5,5,3,3,2000,Protestant,NA
18,3,NA,3,1,5,1,2000,NA,George W. Bush
25,1,3,5,1,1,1,2000,NA,Al Gore
17,2,3,5,5,1,5,2000,NA,George W. Bush
53,1,NA,5,1,1,5,2000,NA,Al Gore
6,3,2,3,3,3,3,2000,NA,Al Gore
6,1,1,5,5,1,5,2000,NA,Al Gore
8,2,5,5,5,1,5,2000,NA,George W. Bush
8,3,NA,NA,NA,NA,NA,2000,NA,NA
53,2,NA,5,5,5,1,2000,Other Religion,NA
22,3,NA,3,3,3,5,2000,NA,NA
12,5,NA,3,3,3,3,2000,NA,George W. Bush
24,1,NA,NA,NA,NA,NA,2000,NA,NA
27,1,NA,NA,NA,NA,NA,2000,Other Religion,NA
55,2,NA,NA,NA,NA,NA,2000,NA,NA
55,2,NA,3,3,3,3,2000,NA,George W. Bush
25,3,3,5,5,1,1,2000,NA,George W. Bush
25,1,2,5,1,5,1,2000,Jewish,Al Gore
33,2,NA,1,1,1,1,2000,NA,George W. Bush
36,1,NA,5,5,1,5,2000,NA,Al Gore
36,3,NA,NA,NA,NA,NA,2000,Other Religion,NA
36,1,NA,5,5,1,5,2000,NA,Al Gore
36,5,3,5,1,1,5,2000,NA,NA
36,1,3,5,5,5,1,2000,NA,George W. Bush
41,3,3,5,1,1,3,2000,NA,Al Gore
41,1,NA,5,5,1,5,2000,NA,Al Gore
41,1,4,5,5,1,5,2000,NA,Al Gore
53,3,3,5,5,1,1,2000,NA,Al Gore
53,2,NA,5,5,5,1,2000,NA,NA
41,5,NA,5,5,1,5,2000,NA,NA
34,3,NA,NA,NA,NA,NA,2000,NA,NA
34,1,2,5,3,3,1,2000,NA,Al Gore
51,5,NA,5,5,1,5,2000,Protestant,George W. Bush
1,1,3,5,5,1,1,2000,NA,Al Gore
1,1,NA,5,5,1,3,2000,Protestant,NA
53,5,NA,5,5,1,1,2000,NA,George W. Bush
53,2,3,5,5,1,5,2000,NA,NA
19,1,2,5,5,5,1,2000,NA,Al Gore
19,2,NA,5,3,1,1,2000,Other Religion,George W. Bush
19,2,3,5,1,5,1,2000,NA,George W. Bush
19,3,NA,1,1,5,1,2000,NA,Al Gore
5,3,NA,NA,NA,NA,NA,2000,NA,NA
41,3,3,1,1,5,1,2000,NA,Ralph Nader
53,3,NA,5,3,3,3,2000,Catholic,NA
49,2,NA,NA,NA,NA,NA,2000,NA,NA
49,2,NA,5,1,1,1,2000,NA,George W. Bush
49,1,3,3,1,3,1,2000,NA,Al Gore
34,1,NA,5,5,3,5,2000,NA,Al Gore
34,2,NA,3,3,3,3,2000,NA,George W. Bush
34,2,2,3,5,1,5,2000,Catholic,NA
13,1,NA,5,5,1,5,2000,NA,NA
1,2,NA,5,5,5,5,2000,NA,George W. Bush
41,2,3,5,5,1,5,2000,NA,NA
41,1,3,1,1,5,1,2000,Jewish,Al Gore
17,1,2,5,5,1,5,2000,NA,Al Gore
29,3,NA,NA,NA,NA,NA,2000,NA,NA
29,2,3,5,5,1,1,2000,Catholic,George W. Bush
17,1,3,1,1,5,1,2000,NA,Al Gore
6,NA,NA,5,5,1,1,2000,NA,NA
6,3,NA,5,5,5,3,2000,NA,Al Gore
25,2,3,5,5,1,5,2000,NA,George W. Bush
33,3,NA,NA,NA,NA,NA,2000,NA,NA
33,3,2,5,5,5,1,2000,NA,Al Gore
41,3,3,1,1,5,1,2000,NA,Al Gore
6,1,NA,NA,NA,NA,NA,2000,NA,NA
6,2,3,1,1,5,5,2000,NA,George W. Bush
6,2,NA,NA,NA,NA,NA,2000,NA,NA
49,5,NA,NA,NA,NA,NA,2000,NA,NA
49,5,NA,3,3,3,3,2000,Catholic,NA
49,1,NA,3,5,3,3,2000,NA,NA
34,5,NA,NA,NA,NA,NA,2000,NA,NA
25,5,2,5,5,1,1,2000,NA,NA
25,3,5,5,3,3,3,2000,Catholic,NA
25,3,3,5,5,3,3,2000,NA,NA
8,3,1,5,1,5,1,2000,NA,Ralph Nader
8,3,NA,1,3,5,1,2000,NA,NA
26,1,2,1,5,1,5,2000,NA,Al Gore
